# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
#-------- ------ ------- --------- ------ -------- -------- ---------- ------ -------- ---- -------------------- ---------------- --------------------- --------------------------
$objname $j2000 modulus e_modulus flimit fquality distance e_distance flimit fquality modc $link[method,method] $link[iref,iref] $link[bibref,bibcode] $link[calib,calib_bibcode]
#-------- ------ ------- --------- ------ -------- -------- ---------- ------ -------- ---- -------------------- ---------------- --------------------- --------------------------
NGC0105	J002516.8+125302	33.863	0.06			59.2379188530294	1.65966570805313			33.8629989624023	SNIa      	    52083	Prieto,+2006           	SNIa:Prieto+2006               
NGC0105	J002516.8+125302	34.04	0.14			64.2687988284453	4.28003345058004			33.7108559195964	SNIa      	    51914	Reindl+2005            	SNIa:Reindl+2005               
ESO294-010	J002633.4-415120	26.4	0.07			1.9054603832247	0.0624252842130957			26.4885974401925	RRLyrae   	    51824	Yang+2014              	RRLyrae:Chaboyer1999           
ESO294-010	J002633.4-415120	26.17	0.08			1.71395736772774	0.0643220423111859			26.1700000762939	SBF       	    51377	Jerjen+1998            	                               
ESO294-010	J002633.4-415120	26.37	0.13			1.87931754312414	0.115944771844738			26.3700008392334	TRGB      	    51824	Yang+2014              	TRGB:Bellazzini+2004           
ESO294-010	J002633.4-415120	26.434	0.02			1.93553042758059	0.017909654345035			26.4956281517931	TRGB      	    51280	Dalcanton+2009         	TRGB:Girardi+2008              
ESO294-010	J002633.4-415120	26.42	0.1			1.92309179647734	0.0906328778942012			26.4411086562276	TRGB      	    51365	Karachentsev+2002      	TRGB:I=-4.05                   
ESO294-010	J002633.4-415120	26.46	0.08			1.95884384762606	0.0735122350301258			26.4811076644063	TRGB      	    51372	Tully+2006             	TRGB:I=-4.05                   
ESO294-010	J002633.4-415120	26.34				1.85353175366123				26.3489943720888	TRGB      	    51926	Tikhonov2013           	TRGB:Lee+1993                  
ESO294-010	J002633.4-415120	26.54	0.0349998			2.03235786781048	0.033023013664478			26.5425483463535	TRGB      	    52052	Jacobs,+2009           	TRGB:Rizzi+2007                
